Date,age0-4,age5-9,age10-14,age15-19,age20-24,age25-29,age30-34,age35-39,age40-44,age45-49,age50-54,age55-59,age60-64,age65-69,age70-74,age75-79,age80+,Total
2020-10-12,5,1,2,2,6,8,12,15,17,22,34,44,46,44.0253,63.0253,61.076,216.38,598.507
2020-10-13,5,1,2,3,7,11,16,20,24,31,48,62,63,58.0077,78.0077,70.023,200.115,699.153
2020-10-14,7,2,2,3,8,11,15,19,21,25,37,46,48,50.99,74.99,69.9699,195.85,635.799
2020-10-15,5,1,2,3,7,11,15,19,22,28,42,53,54,50.9723,73.9723,79.9169,273.584,740.446
2020-10-16,5,1,2,2,6,9,12,16,18,23,35,45,47,43.9546,60.9546,57.8638,177.319,561.092
2020-10-17,7,2,2,3,8,12,16,20,21,26,38,46,47,46.9369,69.9369,72.8107,250.054,687.738
2020-10-18,7,2,2,3,8,12,16,20,23,30,46,60,63,62.8442,87.8442,79.5326,255.663,777.884
2020-10-19,9,2,3,4,10,14,19,23,25,31,46,56,57,55.7515,81.7515,83.2545,264.272,784.03
2020-10-20,8,2,3,4,10,14,19,23,25,31,45,55,59,63.6588,94.6588,90.9764,309.882,857.176
2020-10-21,7,2,2,4,8,12,18,22,25,32,50,64,67,66.5661,98.5661,102.698,295.491,876.322
2020-10-22,6,2,2,4,9,13,18,23,25,32,49,61,64,63.4734,92.4734,92.4201,348.101,904.467
2020-10-23,3,1,1,2,6,10,15,19,23,31,51,68,72,67.3807,96.3807,101.142,335.71,902.613
2020-10-24,5,1,2,3,7,11,16,20,23,30,47,61,67,70.288,106.288,108.864,308.319,886.759
2020-10-25,11,3,4,6,13,18,25,30,33,41,60,73,77,80.1763,118.176,113.529,356.645,1062.53
2020-10-26,7,2,3,5,11,17,24,31,36,47,74,97,100,93.0647,128.065,121.194,363.971,1160.29
2020-10-27,9,2,3,5,12,17,24,30,34,43,66,83,83,75.9531,106.953,110.859,369.297,1074.06
2020-10-28,6,2,3,4,10,15,22,28,33,43,67,87,90,83.8415,118.841,121.524,392.622,1126.83
2020-10-29,7,2,3,4,10,15,22,28,33,43,68,90,96,95.7299,138.73,133.19,396.948,1185.6
2020-10-30,8,2,3,4,10,15,21,26,30,37,57,72,77,79.6183,112.618,96.8548,282.274,933.365
2020-10-31,8,2,3,4,10,15,21,26,30,38,58,74,80,84.5067,125.507,118.52,380.6,1078.13
2020-11-01,7,2,3,4,10,14,21,26,30,40,62,81,87,87.4676,129.468,129.403,406.014,1139.35
2020-11-02,9,2,3,5,12,17,25,31,35,45,70,90,93,88.4286,125.429,122.286,418.429,1191.57
2020-11-03,10,2,3,5,11,16,22,27,31,38,58,73,79,83.3895,125.39,126.169,402.843,1112.79
2020-11-04,7,2,3,5,11,16,24,31,36,47,74,96,101,95.3505,135.351,131.052,433.258,1248.01
2020-11-05,5,1,2,4,9,13,20,26,31,41,66,87,94,92.3115,134.311,127.934,446.672,1200.23
2020-11-06,8,2,3,4,10,15,22,27,31,39,60,77,80,77.2724,113.272,116.817,361.087,1046.45
2020-11-07,11,3,4,6,14,20,28,35,39,48,71,88,89,85.2334,123.233,122.7,398.501,1185.67
2020-11-08,11,3,4,6,14,20,28,34,39,48,73,91,96,98.1431,148.143,153.429,495.147,1361.86
2020-11-09,9,2,3,5,12,18,26,34,39,51,79,103,110,108.053,156.053,151.159,509.793,1416.06
2020-11-10,8,2,3,5,12,19,27,35,40,51,80,103,108,105.963,153.963,154.888,524.439,1432.25
2020-11-11,11,3,4,6,15,22,31,39,44,56,86,109,115,114.872,164.872,155.617,547.085,1523.45
2020-11-12,12,3,5,7,15,22,32,40,45,57,87,110,116,115.782,166.782,159.346,517.731,1510.64
2020-11-13,12,3,4,6,14,21,29,35,39,49,74,92,98,101.692,150.692,147.075,398.377,1273.84
2020-11-14,13,3,5,7,15,21,30,36,40,49,73,90,94,95.6015,142.602,138.805,407.023,1260.03
2020-11-15,5,1,3,4,10,16,24,31,37,49,78,104,110,104.638,150.638,152.914,470.572,1350.76
2020-11-16,9,2,4,5,13,19,27,34,39,50,78,100,109,114.675,168.675,157.024,496.121,1425.49
2020-11-17,12,3,5,7,15,22,31,38,42,51,76,94,97,95.7113,144.711,152.134,473.67,1359.23
2020-11-18,10,3,4,6,14,21,30,38,43,55,84,107,112,107.748,154.748,151.244,487.219,1427.96
2020-11-19,9,2,3,5,12,18,26,33,38,49,76,97,102,98.7845,141.785,138.354,467.768,1316.69
2020-11-20,10,3,4,5,12,18,25,30,34,42,64,80,86,91.8211,135.821,123.463,405.317,1169.42
2020-11-21,7,2,3,4,10,15,21,27,32,42,66,87,92,87.8577,124.858,116.573,383.866,1121.15
2020-11-22,11,3,4,6,14,20,28,34,38,47,71,88,90,85.8589,121.859,115.577,428.884,1206.18
2020-11-23,12,3,5,7,15,22,30,37,41,51,76,95,98,94.8601,134.86,124.58,418.902,1265.2
2020-11-24,9,2,3,5,12,17,25,31,35,44,68,86,89,83.8614,121.861,120.584,404.92,1157.23
2020-11-25,12,3,4,7,15,21,30,36,40,49,72,89,90,85.8626,127.863,135.588,459.939,1277.25
2020-11-26,10,2,3,5,12,17,24,29,32,40,61,76,77,71.8638,103.864,103.591,376.957,1044.28
2020-11-27,9,2,3,4,10,15,21,25,29,36,55,69,71,66.865,96.865,93.5951,317.975,924.3
2020-11-28,10,2,3,5,11,15,21,25,27,33,47,57,59,61.8662,93.8662,91.5987,378.994,941.325
2020-11-29,10,2,4,5,12,17,24,29,32,40,60,75,75,68.8034,101.803,108.41,420.051,1084.07
2020-11-30,10,2,3,5,12,17,23,29,32,39,58,71,73,70.7406,106.741,112.222,428.109,1091.81
2020-12-01,7,2,3,4,10,15,22,28,32,41,63,81,83,76.6778,109.678,108.033,406.167,1091.56
2020-12-02,12,3,4,6,13,18,25,30,33,40,59,72,73,71.615,107.615,111.845,415.224,1094.3
2020-12-03,7,2,3,4,10,15,21,27,32,42,66,86,91,88.5521,127.552,122.656,422.282,1167.04
2020-12-04,14,4,5,7,15,21,28,33,35,42,59,69,68,66.4893,100.489,99.4679,393.34,1059.79
2020-12-05,10,2,3,5,12,17,23,28,31,38,57,69,72,71.4265,107.426,103.279,376.397,1025.53
2020-12-06,8,2,3,4,10,15,22,28,31,40,61,78,80,75.4826,114.483,123.448,478.239,1173.65
2020-12-07,10,3,4,5,12,18,25,31,35,44,67,85,89,89.5387,130.539,123.616,519.081,1290.77
2020-12-08,12,3,4,6,14,21,29,36,40,49,74,93,96,94.5948,138.595,136.784,524.922,1371.9
2020-12-09,9,2,4,5,12,18,26,32,37,47,73,93,95,85.6509,123.651,130.953,560.764,1354.02
2020-12-10,10,3,4,6,13,19,27,34,38,48,73,92,93,86.707,126.707,129.121,535.606,1338.14
2020-12-11,9,2,4,5,12,18,26,33,37,47,72,91,91,81.7632,117.763,124.289,509.447,1280.26
2020-12-12,12,3,4,6,14,19,27,33,37,47,71,89,93,92.8193,138.819,142.458,586.289,1415.39
2020-12-13,11,3,4,6,14,20,29,36,40,51,78,98,100,92.8217,134.822,143.465,570.326,1431.43
2020-12-14,12,3,5,7,15,22,31,38,42,53,81,102,106,103.824,152.824,154.472,622.362,1550.48
2020-12-15,15,4,5,8,17,24,34,40,44,54,80,97,100,100.827,152.827,164.48,621.399,1561.53
2020-12-16,14,4,5,7,16,24,33,41,46,57,86,108,112,111.829,164.829,167.487,615.435,1612.58
2020-12-17,14,4,5,8,18,25,36,44,50,63,96,121,122,110.831,158.831,168.494,639.472,1683.63
2020-12-18,16,4,6,8,18,26,36,44,48,59,88,108,109,102.834,147.834,151.502,538.509,1510.68
2020-12-19,14,4,5,8,18,26,37,46,52,65,99,125,126,112.836,158.836,163.509,591.545,1651.73
2020-12-20,20,5,8,11,24,34,47,57,62,76,111,135,131,113.453,157.453,165.358,650.791,1808.05
2020-12-21,21,6,8,11,24,35,49,59,66,81,120,149,150,142.069,196.069,182.207,674.036,1973.38
2020-12-22,20,5,7,11,24,34,47,58,65,81,122,153,155,143.685,200.685,194.056,668.281,1988.71
2020-12-23,21,6,8,11,25,36,49,60,65,78,113,135,132,118.302,168.302,171.905,586.527,1784.04
2020-12-24,20,5,7,10,23,33,45,55,60,72,105,128,127,117.918,163.918,148.754,483.772,1604.36
2020-12-25,19,5,7,11,24,34,48,60,66,81,121,150,148,132.535,179.535,162.604,527.018,1775.69
2020-12-26,22,6,8,12,27,39,55,68,75,92,137,170,170,154.151,210.151,190.453,650.263,2086.02
2020-12-27,28,8,10,15,33,47,66,81,90,110,165,204,198,169.938,224.938,208.814,711.07,2369.76
2020-12-28,34,9,12,17,38,54,74,89,96,116,168,202,197,177.725,245.725,235.175,796.877,2561.5
2020-12-29,28,8,11,16,35,50,70,86,95,117,175,216,214,191.512,259.512,240.537,806.684,2619.25
2020-12-30,25,7,10,15,34,49,70,87,97,121,182,229,220,178.299,231.299,223.898,822.492,2601.99
2020-12-31,21,6,8,12,28,41,59,73,82,103,156,197,195,167.087,227.087,220.26,683.299,2278.73
2021-01-01,23,7,10,14,32,46,66,82,94,118,180,229,234,215.874,295.874,271.621,860.106,2778.47
2021-01-02,27,8,11,16,35,51,72,89,100,124,186,233,233,210.661,290.661,280.983,905.913,2873.22
2021-01-03,33,9,13,19,42,60,84,104,115,141,210,259,252,217.267,293.267,286.802,958.012,3096.35
2021-01-04,24,7,10,15,35,51,74,94,108,139,215,278,278,238.874,317.874,304.622,1032.11,3221.48
2021-01-05,33,9,13,19,43,61,87,107,120,149,223,279,281,258.481,349.481,308.442,1020.21,3360.61
2021-01-06,30,9,12,18,41,61,87,109,124,157,241,307,310,278.087,375.087,344.262,1096.31,3599.74
2021-01-07,19,6,9,14,33,50,74,95,112,147,233,307,312,269.694,356.694,326.082,1104.41,3467.88
2021-01-08,29,8,12,17,38,54,77,96,108,135,204,256,259,238.3,331.3,307.901,1006.51,3177.01
2021-01-09,21,6,9,14,33,50,73,94,108,140,217,282,287,256.907,349.907,323.721,1057.61,3322.14
2021-01-10,21,6,9,14,32,47,69,87,100,129,199,257,268,253.821,349.821,304.463,1038.32,3184.42
2021-01-11,24,7,11,16,37,55,81,103,118,151,235,303,308,274.735,365.735,320.205,1058.03,3467.7
2021-01-12,26,8,11,17,38,57,83,105,121,156,242,313,318,282.649,379.649,346.947,1169.74,3673.98
2021-01-13,35,10,13,19,43,62,87,107,119,147,221,275,281,266.563,369.563,326.689,1003.45,3385.26
2021-01-14,22,7,10,15,34,51,74,95,110,141,220,285,288,251.477,331.477,287.431,972.156,3194.54
2021-01-15,21,6,9,14,32,47,68,87,100,128,198,256,260,229.391,306.391,267.173,855.866,2884.82
2021-01-16,20,6,9,14,32,48,70,90,104,136,213,277,278,233.305,307.305,280.915,1012.58,3131.1
2021-01-17,24,7,10,15,34,50,72,90,102,129,197,250,254,229.506,313.506,280.519,1003.6,3061.13
2021-01-18,15,5,8,12,29,45,67,88,105,138,221,292,302,270.708,359.708,315.123,1037.61,3310.15
2021-01-19,22,7,10,15,35,53,77,99,115,148,232,301,301,253.909,332.909,308.727,1032.63,3343.18
2021-01-20,32,9,13,19,42,61,86,107,119,148,222,277,273,238.11,318.11,289.33,1011.65,3265.2
2021-01-21,17,5,8,13,30,45,66,86,100,130,205,268,269,227.311,296.311,261.934,831.671,2859.23
2021-01-22,16,5,8,12,28,42,62,81,95,124,196,258,256,203.513,256.513,227.538,747.69,2618.25
2021-01-23,18,5,8,11,26,39,56,71,82,105,162,210,212,183.714,246.714,219.142,769.71,2424.28
2021-01-24,22,6,9,13,30,43,62,78,88,112,171,218,219,190.131,253.131,222.393,746.967,2483.62
2021-01-25,23,7,9,13,30,44,63,78,88,110,167,211,211,185.548,246.548,212.645,639.225,2337.97
2021-01-26,16,5,7,11,26,38,56,72,84,109,172,225,226,191.966,249.966,219.897,746.483,2455.31
2021-01-27,20,6,9,13,30,43,63,79,89,112,171,216,214,183.383,239.383,212.148,739.741,2439.65
2021-01-28,20,6,9,13,29,43,61,77,88,111,170,216,212,177.8,234.8,223.4,729.999,2421
2021-01-29,15,4,6,10,23,34,49,63,74,95,150,195,195,163.217,210.217,184.651,616.257,2087.34
2021-01-30,10,3,5,7,18,27,41,53,63,83,132,174,176,146.634,190.634,174.903,605.514,1909.69
2021-01-31,14,4,6,9,21,31,46,58,67,86,134,173,175,154.953,204.953,176.858,558.29,1919.05
2021-02-01,15,4,6,10,23,34,49,63,73,95,150,195,196,165.271,213.271,190.813,625.066,2107.42
2021-02-02,15,4,6,9,21,30,43,54,63,81,126,163,170,161.589,222.589,196.768,623.841,1989.79
2021-02-03,19,5,7,11,24,35,49,60,67,82,122,152,152,138.908,190.908,178.723,594.617,1888.16
2021-02-04,12,3,5,8,18,27,40,50,58,75,116,151,153,135.226,177.226,153.679,494.393,1676.52
2021-02-05,17,5,7,9,21,31,44,54,60,74,111,138,135,118.545,155.545,136.634,438.168,1554.89
2021-02-06,11,3,5,7,17,26,37,47,53,68,104,132,131,112.863,145.863,127.589,469.944,1497.26
2021-02-07,13,4,5,8,18,27,39,49,56,72,111,143,141,117.066,145.066,119.198,434.99,1502.32
2021-02-08,15,4,6,8,19,28,40,50,57,72,111,142,144,130.269,169.269,139.807,438.037,1573.38
2021-02-09,12,3,5,7,17,25,35,44,50,63,96,122,123,111.472,147.472,124.417,404.083,1389.44
2021-02-10,13,4,5,7,17,25,35,43,49,62,94,120,121,109.675,145.675,125.026,405.13,1380.51
2021-02-11,10,3,4,6,15,22,32,41,48,61,95,123,120,95.8784,116.878,101.635,373.177,1267.57
2021-02-12,10,3,4,6,15,22,31,39,45,56,86,109,111,105.082,139.082,111.245,295.223,1187.63
2021-02-13,10,3,4,6,14,21,30,37,42,53,81,102,100,84.2846,105.285,86.8539,322.27,1101.69
2021-02-14,11,3,4,6,15,22,32,40,46,58,89,114,111,91.3877,115.388,105.163,372.816,1235.75
