Date,Day,age0-4,age5-9,age10-14,age15-19,age20-24,age25-29,age30-34,age35-39,age40-44,age45-49,age50-54,age55-59,age60-64,age65-69,age70-74,age75-79,age80+,CH
2020-01-03,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-17,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-24,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-31,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.828967,0
2020-02-07,37,0,0,0,0,0,0,0,0,0,0,0,0.828967,0,0,0,0,0,0
2020-02-14,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-21,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-28,58,0,0,0,0,0,0,0.828967,0,0,0,0,0,0,0,0,0,0,0
2020-03-06,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.828967,2.4869,1.65793,0
2020-03-13,72,0,0,0,0,0,0,0,0.828967,0.828967,0,0,0.828967,4.14483,4.14483,4.9738,1.65793,19.0662,0
2020-03-20,79,0,0,0,0,0.828967,1.65793,0.828967,0,2.4869,5.80277,14.0924,11.6055,17.4083,23.1096,32.9995,37.4691,172.52,17.8981
2020-03-27,86,0,0,0,1.65793,0.828967,2.4869,9.9476,7.4607,9.9476,22.3821,34.8166,64.6594,77.0939,109.066,179.325,238.89,746.012,63.1145
2020-04-03,93,0,0.828967,0,2.4869,4.14483,5.80277,11.6055,13.2635,24.04,62.1725,80.4098,169.938,232.111,306.385,492.958,655.515,1804.64,497.38
2020-04-10,100,0,0,0.828967,0.828967,1.65793,11.6055,9.11863,24.04,44.7642,75.436,143.411,225.479,363.916,441.807,704.477,968.987,2670.35,1321.64
2020-04-17,107,0,0,0,1.65793,2.4869,4.9738,8.28967,21.5531,38.1325,60.5146,130.148,206.413,305.889,393.867,628.696,801.312,1874.15,2759.14
2020-04-24,114,0,0,0,0,3.31587,6.63173,10.7766,14.0924,29.0138,44.7642,96.9891,183.202,216.36,269.662,451.647,574.516,813.894,3465.65
2020-05-01,121,0,0,0,0,3.31587,1.65793,7.4607,8.28967,11.6055,34.8166,63.8304,98.647,133.464,207.362,302.459,451.12,454.934,2903.27
2020-05-08,128,0.828967,0,0,0,2.4869,2.4869,3.31587,6.63173,13.2635,20.7242,38.9614,68.8042,112.739,141.481,266.179,323.181,592.19,1949.01
2020-05-15,135,0.828967,0,0,0.828967,0,1.65793,4.14483,4.14483,11.6055,17.4083,24.869,51.3959,67.9753,97.572,150.165,215.59,18.3024,1944.3
2020-05-22,142,0,0,0.828967,0,0,0,1.65793,0.828967,6.63173,14.0924,20.7242,39.7904,63.0015,60.6375,143.51,182.481,224.32,1294.32
2020-05-29,149,0,0,0,0,0.828967,1.65793,0.828967,2.4869,4.9738,9.11863,21.5531,37.3035,55.5408,53.2693,107.764,139.659,306.111,839.329
2020-06-05,156,0,0,0.828967,0,0,0,0.828967,3.31587,4.9738,7.4607,14.0924,24.04,24.04,54.2199,86.044,110.228,168.136,671.651
2020-06-12,163,0,0,0,0,0.828967,0.828967,0.828967,2.4869,5.80277,4.9738,11.6055,14.9214,25.698,29.8304,52.4503,82.3075,169.485,440.859
2020-06-19,170,0,0,0,0,0,0,0,1.65793,3.31587,1.65793,8.28967,13.2635,17.4083,28.9842,55.3812,61.9164,109.869,297.674
2020-06-26,177,0,0,0,0,0,0,0,0,0,4.9738,9.11863,7.4607,16.5793,24.4109,37.772,57.9031,131.091,227.024
2020-07-03,184,0,0,0,0,0,0,1.65793,0.828967,1.65793,3.31587,5.80277,9.11863,10.7766,13.8266,28.9549,40.0938,68.8256,193.112
2020-07-10,191,0,0,0,0,0.828967,0,0,0,3.31587,2.4869,4.14483,5.80277,9.9476,12.5906,27.1296,27.9306,80.7342,118.693
2020-07-17,198,0,0,0,0,0,0,0,0,0.828967,4.9738,4.14483,4.14483,3.31587,9.38685,25.6476,23.69,29.975,98.9108
2020-07-24,205,0,0,0,0,0,0,0.828967,0.828967,0.828967,0,2.4869,4.9738,4.14483,11.9859,11.731,19.4494,33.9276,79.1286
2020-07-31,212,0,0,0,0,0,0,0,0,0.828967,3.31587,1.65793,4.9738,3.31587,9.62717,11.103,16.9714,34.4185,56.5204
2020-08-07,219,0,0,0,0,0,0,0,0,0,1.65793,2.4869,2.4869,4.9738,8.85695,11.1952,10.7237,28.0808,46.1584
2020-08-14,226,0,0,0,0,0,0,0,0,0,0.828967,0,3.31587,4.14483,7.99594,7.82905,18.8039,28.3726,51.8104
2020-08-21,233,0,0,0,0,0,0,0.828967,0.828967,1.65793,1.65793,3.31587,4.14483,2.4869,4.7228,3.75121,9.96459,12.2332,44.2743
2020-08-28,240,0,0,0,0,0,0,0,1.65793,0.828967,0.828967,4.14483,1.65793,4.14483,5.62119,4.68905,6.27364,18.2327,32.0283
2020-09-04,247,0,0,0,0,0,0,0,1.65793,0,1.65793,1.65793,1.65793,4.14483,3.1877,7.2597,8.28071,14.4306,22.6082
2020-09-11,254,0,0,0,0,0,0,0.828967,0.828967,0.828967,0,2.4869,0.828967,4.14483,5.61585,7.99654,14.5284,16.6234,32.9703
2020-09-18,261,0,0,0,0,0,0,0,0,2.4869,0.828967,1.65793,3.31587,4.9738,8.86763,10.3829,16.5963,51.1946,44.2743
2020-09-25,268,0,0,0,0,0,0,0,0.828967,0.828967,2.4869,4.9738,7.4607,9.9476,13.8147,21.9466,23.0535,74.6488,48.9844
2020-10-02,275,0,0,0,0,0,0.828967,0,1.65793,1.65793,3.31587,3.31587,7.4607,10.7766,17.9062,42.587,46.7444,126.531,58.4045
2020-10-09,282,0,0,0,0,0.828967,0,2.4869,0,4.9738,3.31587,5.80277,9.11863,21.5531,26.0623,43.2066,69.0826,179.143,81.9546
2020-10-16,289,0,0,0,0,0,0,2.4869,2.4869,1.65793,4.14483,9.11863,12.4345,26.5269,43.1021,72.4715,92.3715,245.5,146.953
2020-10-23,296,0,0,0,0,0,0,1.65793,1.65793,4.14483,8.28967,14.0924,28.1849,38.1325,74.2611,115.871,172.205,413.576,207.242
2020-10-30,303,0,0,0,0,0.828967,3.31587,1.65793,1.65793,4.14483,8.28967,20.7242,32.3297,57.1987,75.7641,139.668,206.838,644.61,234.56
2020-11-06,310,0,0,0,0,1.65793,0,0.828967,1.65793,4.9738,19.0662,29.8428,38.9614,68.8042,113.914,182.33,247.124,788.781,377.745
2020-11-13,317,0,0,0,0,0.828967,1.65793,4.14483,3.31587,10.7766,14.9214,33.1587,58.0277,89.5284,127.858,230.536,283.012,833.326,550.132
2020-11-20,324,0,0,0,0.828967,0.828967,1.65793,2.4869,6.63173,4.9738,13.2635,27.3559,59.6856,78.7518,129.174,222.539,340.463,959.954,610.421
2020-11-27,331,0,0,0.828967,0,0.828967,0.828967,4.14483,7.4607,7.4607,22.3821,33.1587,58.0277,96.1601,130.042,253.629,333.638,911.61,749.838
2020-12-04,338,0,0,0,0,0.828967,2.4869,1.65793,4.14483,13.2635,14.9214,29.0138,54.7118,87.8705,146.112,227.605,331.588,880.508,693.317
2020-12-11,345,0,0,0.828967,0.828967,0.828967,1.65793,1.65793,7.4607,8.28967,19.0662,30.6718,58.0277,106.937,128.715,188.66,309.276,861.344,691.433
2020-12-18,352,0,0,0,0,0,0,0,3.31587,8.28967,18.2373,36.4745,64.6594,87.0415,138.112,221.785,311.483,1040.44,788.46
2020-12-25,359,0,0,0,0,0,2.4869,3.31587,2.4869,9.11863,22.3821,43.9352,64.6594,107.766,169.275,290.531,351.169,1222.48,701.796
2021-01-01,366,0,0.828967,0,0,0,3.31587,4.9738,8.28967,9.9476,24.04,40.6194,72.1201,123.516,157.691,264.866,360.427,1192.44,698.028
2021-01-08,373,0,1.65793,0,2.4869,0.828967,4.9738,10.7766,11.6055,18.2373,47.2511,92.8443,141.753,221.334,286.138,471.814,629.434,1944.23,1290.55
2021-01-15,380,0,0,0,0,3.31587,3.31587,9.9476,22.3821,32.3297,66.3173,106.937,180.715,280.191,343.131,577.486,725.844,2228.96,1619.31
2021-01-22,387,0,0,0.828967,1.65793,1.65793,5.80277,8.28967,20.7242,37.3035,74.607,111.082,213.044,312.52,419.267,648.349,837.617,2329.13,2226.91
2021-01-29,394,0,0,0,0,0.828967,3.31587,15.7504,25.698,34.8166,67.9753,141.753,216.36,313.349,391.987,658.773,767.206,2276.3,2359.73
2021-02-05,401,0,0,0,2.4869,2.4869,6.63173,13.2635,19.8952,35.6456,76.2649,124.345,176.57,291.796,361.42,549.627,689.199,1915.4,2048.87
2021-02-12,408,0,0,0,0.828967,1.65793,4.9738,8.28967,19.8952,24.04,53.0539,106.937,150.872,249.519,307.874,444.274,571.327,1538.12,1404.53
2021-02-19,415,0,0,0,0,4.14483,2.4869,7.4607,12.4345,18.2373,41.4483,72.1201,135.951,193.978,244.344,335.077,396.402,1114,912.805
2021-02-26,422,0,0,0.828967,0,0.828967,5.80277,2.4869,11.6055,13.2635,29.8428,61.3435,94.5022,158.333,176.489,249.995,283.684,799.38,599.117
2021-03-05,429,0,0,0,0.828967,0,4.14483,4.9738,11.6055,17.4083,24.04,40.6194,71.2911,126.832,158.326,168.514,197.569,531.695,439.917
2021-03-12,436,0,0,0.828967,0,0.828967,0.828967,2.4869,6.63173,11.6055,14.0924,49.738,62.1725,75.436,107.821,120.175,144.543,398.4,282.602
2021-03-19,443,0,0,0.828967,0,0,0,0.828967,4.14483,5.80277,15.7504,19.0662,43.9352,66.3173,62.789,82.9215,89.352,244.909,183.691
2021-03-26,450,0,0,0,0,1.65793,0,3.31587,2.4869,2.4869,11.6055,32.3297,27.3559,53.8828,45.6211,49.3107,58.5934,183.035,141.301
2021-04-02,457,0,0,0,0.828967,1.65793,0,6.63173,3.31587,2.4869,7.4607,11.6055,24.04,22.3821,27.7256,21.6619,36.7878,93.7105,81.0126
2021-04-09,464,0,0,0,0,0.828967,0,2.4869,3.31587,5.80277,4.14483,10.7766,18.2373,25.698,26.1371,28.4025,39.7286,88.1045,68.7665
2021-04-16,471,0,0,0,0,0,0.828967,3.31587,1.65793,4.9738,8.28967,8.28967,22.3821,17.4083,26.1584,22.6332,28.2627,98.6865,64.9985
2021-04-23,478,0,0,0,0,0,0,0.828967,0.828967,1.65793,4.14483,8.28967,9.11863,19.8952,17.1413,24.4503,23.1233,64.6039,47.1004
2021-04-30,485,0,0,0,0,0.828967,0,0.828967,1.65793,4.14483,2.4869,4.14483,8.28967,11.6055,14.7345,22.089,17.0153,53.0979,32.9703
2021-05-07,492,0,0,0,0,0,0,1.65793,0.828967,1.65793,2.4869,4.14483,9.9476,8.28967,8.20956,13.1378,14.3977,29.7433,14.1301
2021-05-14,499,0,0,0,0,0,1.65793,0,1.65793,0.828967,2.4869,7.4607,7.4607,9.11863,13.9322,11.3543,11.3871,32.9596,28.2602
2021-05-21,506,0,0,0,0,0,0,0,1.65793,0.828967,3.31587,1.65793,6.63173,4.14483,13.13,9.73823,9.07476,17.7951,23.5502
2021-05-28,513,0,0,0,0,0,0,0,2.4869,1.65793,2.4869,4.14483,6.63173,7.4607,14.0283,5.70227,7.8707,16.3339,11.3041
2021-06-04,520,0,0,0,0,0,0,1.65793,2.4869,0.828967,4.14483,3.31587,5.80277,4.9738,9.87817,9.00976,9.49372,18.8694,12.2461
2021-06-11,527,0,0,0.828967,0,0,0.828967,0,0.828967,1.65793,0.828967,3.31587,5.80277,5.80277,4.89903,7.34345,7.80087,18.0891,13.1881
2021-06-18,534,0,0,0,0,0,0.828967,0,0.828967,0,6.63173,0,5.80277,3.31587,7.34855,12.2586,7.55648,22.5743,19.7822
2021-06-25,541,0,0,0,0,0,1.65793,0.828967,0.828967,1.65793,0.828967,1.65793,9.9476,11.6055,7.40729,7.37695,7.11156,22.8684,9.42007
2021-07-02,548,0,0,0,0,0,0,1.65793,1.65793,4.14483,4.14483,3.31587,4.9738,8.28967,6.57299,8.19754,16.1953,22.088,10.3621
2021-07-09,555,0,0,0,1.65793,0.828967,0,0,1.65793,5.80277,6.63173,13.2635,4.14483,8.28967,9.01182,11.438,22.5128,49.8816,18.8401
2021-07-16,562,0.828967,0,0,0,0,0,2.4869,1.65793,4.9738,4.14483,11.6055,12.4345,14.0924,15.6062,12.2084,26.4132,51.8799,25.4342
2021-07-23,569,0,0,0,0.828967,2.4869,3.31587,1.65793,1.65793,6.63173,4.9738,9.9476,16.5793,18.2373,21.3662,27.8917,33.5946,92.8883,32.9703
2021-07-30,576,0,0,0,0.828967,0.828967,0.828967,4.14483,3.31587,6.63173,8.28967,14.0924,18.2373,22.3821,31.239,34.4062,33.1058,115.951,46.1584
2021-08-06,583,0.828967,0.828967,0,0,0.828967,3.31587,3.31587,14.9214,10.7766,13.2635,22.3821,25.698,29.8428,37.8654,49.3192,47.9923,134.237,47.1004
