bp,factor
start,0
2020-01-27,2.954e-05
2020-02-02,5.82498e-05
2020-02-04,8.51876e-05
2020-02-05,0.000199852
2020-02-06,0.000287047
2020-02-07,0.000376991
2020-02-08,0.000524015
2020-02-09,0.000614248
2020-02-10,0.000824033
2020-02-11,0.000946214
2020-02-12,0.00140383
2020-02-13,0.00222011
2020-02-14,0.00304578
2020-02-15,0.00444104
2020-02-16,0.00656052
2020-02-17,0.00816418
2020-02-18,0.0125707
2020-02-19,0.0156513
2020-02-20,0.0215031
2020-02-21,0.0278008
2020-02-22,0.031389
2020-02-23,0.0420149
2020-02-24,0.0470999
2020-02-25,0.0671922
2020-02-26,0.0780789
2020-02-27,0.0908438
2020-02-28,0.10316
2020-02-29,0.114228
2020-03-01,0.144847
2020-03-02,0.188629
2020-03-04,0.219486
2020-03-05,0.281274
2020-03-06,0.34337
2020-03-07,0.424253
2020-03-08,0.481751
2020-03-09,0.540115
2020-03-10,0.63029
2020-03-11,0.719037
2020-03-15,0.590157
2020-03-16,0.486749
2020-03-17,0.556475
2020-03-20,0.35685
2020-03-21,0.203257
2020-03-22,0.253166
2020-03-24,0.156516
2020-03-26,0.225518
2020-03-27,0.162326
2020-03-28,0.143406
2020-03-29,0.0785079
2020-04-01,0.0482049
2020-04-02,0
2020-05-10,0.00107915
2020-05-11,0
2020-05-19,0.000447698
2020-05-20,0.00040265
2020-05-21,0.00100645
2020-05-22,0.000197778
2020-05-23,0.000428261
2020-05-24,0.00140133
2020-05-25,0.00122327
2020-05-26,0.000834344
2020-05-27,0.000664324
2020-05-28,0.000255202
2020-05-29,0.000329114
2020-05-30,0.000879471
2020-05-31,0.000246518
2020-06-01,0.000695378
2020-06-02,0.000963654
2020-06-04,0.000840586
2020-06-05,0.00193344
2020-06-06,0.00223074
2020-06-07,0.00298865
2020-06-10,0.00330941
2020-06-12,0.0041579
2020-06-14,0.00317064
2020-06-18,0.00437282
2020-06-20,0.0048425
2020-06-21,0.00536621
2020-06-24,0.00591264
2020-06-25,0.00654746
2020-07-04,0.00748996
2020-07-06,0.00854837
2020-07-07,0.00943336
2020-07-10,0.0103861
2020-07-18,0.0121225
2020-07-22,0.0148422
2020-07-25,0.0164038
2020-07-27,0.018394
2020-08-07,0.0158321
2020-08-09,0.0175775
2020-08-14,0.0216948
2020-08-15,0.0190507
2020-08-16,0.0213748
2020-08-20,0.0163588
2020-08-21,0.0192367
2020-08-22,0.0232669
2020-08-27,0.0319294
2020-08-29,0.0366311
2020-08-31,0.0314377
2020-09-02,0.0353787
2020-09-07,0.0496452
2020-09-11,0.0439748
2020-09-13,0.0379538
2020-09-14,0.0266385
2020-09-15,0.0323909
2020-09-18,0.050261
2020-09-21,0.0442489
2020-09-22,0.0494
2020-09-23,0.0548685
2020-09-24,0.0479989
2020-09-25,0.0194255
2020-09-26,0.00785854
2020-09-27,0.0093232
2020-09-28,0
2020-09-30,0.000993924
2020-10-01,0
2020-10-09,0.0117401
2020-10-10,0
2020-11-01,0.01211
2020-11-02,0.00135913
2020-11-03,0.00735492
2020-11-04,0.0150276
2020-11-05,0.0124227
2020-11-06,0.034373
2020-11-08,0.0270263
2020-11-10,0.0200839
2020-11-11,0.0143534
2020-11-12,0.017752
2020-11-14,0.0134332
2020-11-15,0.00619909
2020-11-16,0.0183924
2020-11-20,0.0110081
2020-11-21,0.0161185
2020-11-22,0.0229874
2020-11-23,0.0132316
2020-11-25,0.0163204
2020-11-26,0.0224417
2020-11-27,0.0285554
2020-11-28,0.0473161
2020-12-01,0.0527161
2020-12-03,0.043429
2020-12-05,0.0315242
2020-12-06,0.0281623
2020-12-07,0.0503505
2020-12-09,0.059114
2020-12-10,0.0847841
2020-12-11,0.102296
2020-12-14,0.114071
2020-12-16,0.127627
2020-12-17,0.14352
2020-12-18,0.120397
2020-12-20,0.0988543
2020-12-21,0.0407448
2020-12-23,0.0481794
2020-12-24,0.0269834
2020-12-25,0.0397869
2020-12-26,0.0568725
2020-12-27,0.0837632
2020-12-28,0.106575
2021-01-02,0.0873247
2021-01-06,0.0742214
2021-01-07,0.0597612
2021-01-08,0.0536622
2021-01-10,0.0478956
2021-01-13,0.0379255
2021-01-14,0.0428121
2021-01-15,0.0328742
2021-01-16,0.0394335
2021-01-18,0.0343663
2021-01-19,0.0284628
2021-01-21,0.022708
2021-01-22,0.0345626
2021-01-23,0.0310527
2021-01-24,0.01986
2021-01-25,0.016514
2021-01-28,0.0119643
2021-01-29,0
2021-02-01,0.00211458
2021-02-02,0.000469537
2021-02-03,0
2021-02-19,0.00301078
2021-02-21,0
2021-02-26,0.00140459
2021-02-27,0.00499355
2021-02-28,0.00673759
2021-03-01,0.0059723
2021-03-03,0.00497212
2021-03-05,0.00792487
2021-03-06,0.00578862
2021-03-11,0.0019774
2021-03-12,0
2021-03-15,0.000711806
2021-03-16,0.000489678
2021-03-17,0.000364384
2021-03-18,0.00427007
2021-03-20,0.00811741
2021-03-22,0.00730506
2021-03-25,0.00633169
2021-03-26,0.00750742
2021-03-27,0.00635157
2021-03-29,0.00730324
2021-04-02,0.00903642
2021-04-03,0.00757306
2021-04-04,0.00873297
2021-04-05,0.00735333
2021-04-09,0.00564122
2021-04-10,0.00444856
2021-04-13,0.00534945
2021-04-17,0.00830199
2021-04-18,0.00746692
2021-04-22,0.00898865
2021-04-23,0.00800646
2021-04-24,0.00690109
2021-04-25,0.00613778
2021-04-29,0.00474013
2021-04-30,0.00419549
2021-05-01,0.00468916
2021-05-02,0.00575434
2021-05-06,0.00434453
2021-05-09,0.00301312
2021-05-12,0.00188112
2021-05-13,0.00248916
2021-05-14,0.00170675
2021-05-15,0
2021-05-22,0.00164518
2021-05-23,0.00387093
2021-05-24,0.00272971
2021-05-26,0.00301012
2021-05-27,0.000593411
2021-05-28,0.000696263
2021-05-29,0
end,0
